Device Type,Class,Make,Model,Features,Data Sheets
Headsets,Wireless,Yealink,WH64,"DECT and Bluetooth modes, supports simultaneous connections",https://mixnet.sharepoint.com/:b:/s/Marketing/EQblyInE3IxOhjQCaR8yjtwBIXsjPOD41sgqWlAweL-k-w?e=nDBGzK
Paging,Wired,Fanvil,PA2,2 SIP lines to support voice paging over IP,https://mixnet.sharepoint.com/:b:/s/Marketing/Ee8ePsm1m-lFu6PyjEfvduABC9zI31_vfThEO_Z1HBDjnA?e=D3AhiM
Paging,Wired,Fanvil,PA3,"Includes USB 2.0 port and TF card slot, supports high-def codecs (G.722 and Opus)",https://mixnet.sharepoint.com/:b:/s/Marketing/EYRYd1jQX0lBt3XfnWSIF54BPI9ZzLdXObsX-Nuw_NUwOw?e=kPqFsf
POTS Replacement,Wired,DataRemote,9010,"Supports 2 RJ-11 Lines, 1 WAN Port, and 2 (Gigabit) LAN Ports",https://mixnet.sharepoint.com/:b:/s/Marketing/ESb2jf-uQzJCkbO0Lr9zYe0BNnqsbxRJDjwAjxscPqqfUg?e=L6jNBU
POTS Replacement,Wired,DataRemote,9090,"Supports 8 RJ-11 Lines, 1 WANPort , and 4 (Gigabit) LAN Ports",https://mixnet.sharepoint.com/:b:/s/Marketing/EQD39a3Mn9tJpIbOBkFma5sBG8B0XmUPn2vqUQaWyibKHg?e=9Scozy
POTS Replacement,Wired,DataRemote,90X1,"24 hour backup,5G capabilitites ,  8 RJ-11 FXS Ports, 1 (2.5 Gigabyte) WAN Port, 2 (Gigabit) LAN Ports",https://mixnet.sharepoint.com/:b:/s/Marketing/EXyDlCz6BSdEs9iX4sYZnd4BFtkrdnS_sxb0eZyFEP5FHA?e=4D778T
POTS Replacement,Wired,DataRemote,90X2,"48 hour backup, 8 RJ-11 FXS Ports, 1 (2.5 Gigabyte) WAN Port, 2 (Gigabit) LAN Ports",https://mixnet.sharepoint.com/:b:/s/Marketing/EeEdYz7dLOhAkslBAtDGcEAB1CkJgNi_3fOlV4ToGcCDuQ?e=VvYUuj
ATA,Wired,Grandstream,GXW4224,"supports up to 24 FXS RJ-11 Ports, TLS and SRTP security with AES Encryption",https://mixnet.sharepoint.com/:b:/s/Marketing/EX68G5hfHJBAtexjPQfQzSMBdMKeVBQhLc-iVToT4z99Kw?e=2AK9eR
ATA,Wired,Grandstream,HT812,2-port ATA adapter with 2 FXS ports and an integrated Gigabit NAT router,https://mixnet.sharepoint.com/:b:/s/Marketing/EffvIaAoO6hGos6G0JzRDP4BYdvB-VsgUnzw4qBiwr1Xxw?e=XktUa0
ATA,Wired,Pangea,Pangea Fax ATA,"Plug and play, support one analog FAX line with TLS encryption",https://mixnet.sharepoint.com/:b:/s/Marketing/Efq-y1CYpthMk9nQM3Y34Z0BuF0o-Xu__MV-WKiQHzXnCw?e=ax9Cw9
Router,Wired,Peplink,B One,"5G router with SIM slot to support LTE failover, 2 × Gigabit WAN and 4× Gigabit LAN ports",https://mixnet.sharepoint.com/:b:/s/Marketing/ETNwL4mLmblOmRFMhlXYeZcBnkSW7c2WWlxv2NQj_R9LSg?e=K0MQ4d
Router,Wired,Peplink,B One Plus,"SIM slot to support LTE failover, 2 × Gigabit WAN and 4× Gigabit LAN ports",https://mixnet.sharepoint.com/:b:/s/Marketing/EbhjynO6HJROgco3P_F48iwBgYdBX7dUDpK5R7oP5MsHpw?e=LOF5ah
Router,Wired,Peplink,Balance 310x,5G router with 1× Gigabit WAN and 5× Gigabit LAN ports,https://mixnet.sharepoint.com/:b:/s/Marketing/Ef3FjhKm4n9KgEAlsyws5AsB2SSTddXxMXYMJxTIt2TUYQ?e=mOGuMO
Switch,Wired,Zyxel,GS-1920 Switch,Offered in 8-port and 24-port options,https://mixnet.sharepoint.com/:b:/s/Marketing/EXvPbIKB8-VKtGok1HmehLoBBUVAw_NsKF8E6o5Wpaz_1g?e=9OGZVQ
